text
"The memo describes shell company, fullz, and leak in the fraud investigation. Context: cashout."
"The memo describes ponzi scheme, cvv, and washing check in the fraud investigation. Context: stealer."
Case notes reference stealer alongside fake check and breach. Context: cvv.
"The report flags kickback, washing check, and cred as financial crime indicators. Context: swiping."
Case notes reference extortion alongside ssn and bin. Context: bins.
Case notes reference identity theft alongside credit card fraud and bins. Context: bins.
"The memo describes bin, stealer, and money mule in the fraud investigation. Context: credit card fraud."
Case notes reference slush fund alongside securities fraud and kickback. Context: counterfeiting.
Case notes reference offshore account alongside ransom and fake check. Context: swiping.
Case notes reference fullz alongside botnet and combolist. Context: credit card fraud.
"The report flags wire fraud, money laundering, and pyramid scheme as financial crime indicators. Context: shell company."
Case notes reference forgery alongside extortion and check fraud. Context: blackmail.
"The memo describes blackmail, corruption, and carder in the fraud investigation. Context: money laundering."
Case notes reference money mule alongside combolist and extortion. Context: bin.
Case notes reference identity theft alongside extortion and fake check. Context: securities fraud.
"The memo describes racketeering, structuring, and swiping in the fraud investigation. Context: pyramid scheme."
"The report flags combolist, credit card fraud, and money laundering as financial crime indicators. Context: cvv."
Case notes reference kickback alongside carder and carding. Context: leak.
"The memo describes swiping, pyramid scheme, and forgery in the fraud investigation. Context: botnet."
Case notes reference ransom alongside carding and bins. Context: combolist.
Case notes reference bins alongside breach and smurfing. Context: breach.
Case notes reference securities fraud alongside extortion and swiping. Context: cashout.
"The memo describes shell company, identity theft, and smurfing in the fraud investigation. Context: combolist."
"The report flags pyramid scheme, cvv, and structuring as financial crime indicators. Context: fraud."
"The memo describes forgery, logs, and carder in the fraud investigation. Context: swipe."
"The report flags structuring, ransom, and securities fraud as financial crime indicators. Context: fullz."
Case notes reference bank fraud alongside cashout and leak. Context: racketeering.
Case notes reference credit card fraud alongside counterfeiting and fake check. Context: securities fraud.
"The memo describes shell company, extortion, and swipe in the fraud investigation. Context: combolist."
Case notes reference bin alongside forgery and washing check. Context: fake check.
"The memo describes breach, offshore account, and cashout in the fraud investigation. Context: wire fraud."
Case notes reference pyramid scheme alongside structuring and ponzi scheme. Context: bin.
Case notes reference swiping alongside offshore account and forgery. Context: bank fraud.
"The report flags kickback, money laundering, and identity theft as financial crime indicators. Context: money laundering."
"The memo describes wire fraud, blackmail, and structuring in the fraud investigation. Context: counterfeiting."
"The memo describes swiping, fraud, and securities fraud in the fraud investigation. Context: fraud."
Case notes reference logs alongside check fraud and slush fund. Context: logs.
Case notes reference fullz alongside carding and forgery. Context: extortion.
