text
"The message discusses ghb, marijuana, and hard in the shipment notes. Context: bath salts."
"The message discusses mescaline, tramadol, and half o in the shipment notes. Context: methadone."
"Hidden memo mentions ganja, dealer, and grinder during the transaction. Context: purple drank."
"The message discusses qp, mary jane, and dime in the shipment notes. Context: snow."
"The message discusses half o, roxys, and soft in the shipment notes. Context: dillies."
Case file references mescaline along with methadone and pen. Context: greens.
"The message discusses rush, molly, and shipment in the shipment notes. Context: cart."
"Hidden memo mentions codeine, tar, and stems during the transaction. Context: crack."
"The message discusses molly, stash, and dog food in the shipment notes. Context: dmt."
"The message discusses pen, soft, and load in the shipment notes. Context: blotter."
"Hidden memo mentions shrooms, pot, and yayo during the transaction. Context: white lady."
Case file references prescription bottle along with overdose and blow. Context: flake.
"The message discusses mary jane, bars, and psilocybin in the shipment notes. Context: m30."
"Hidden memo mentions brick, yayo, and pcp during the transaction. Context: m30."
"The message discusses grass, baggie, and edibles in the shipment notes. Context: rush."
"Hidden memo mentions bath salts, junkie, and torch during the transaction. Context: point."
"Hidden memo mentions brick, stems, and mary jane during the transaction. Context: scale."
"Hidden memo mentions methadone, lsd, and ghb during the transaction. Context: snow."
"Hidden memo mentions half o, pcp, and wax during the transaction. Context: trap."
"Hidden memo mentions blister pack, tweaker, and methamphetamine during the transaction. Context: torch."
Case file references yayo along with roxys and ghb. Context: snow.
"The message discusses load, heroin, and rush in the shipment notes. Context: grinder."
"The message discusses rohypnol, tina, and grinder in the shipment notes. Context: liquid g."
Case file references blow along with blister pack and heroin. Context: fentanyl.
"The message discusses ghb, stems, and go fast in the shipment notes. Context: narco."
"Hidden memo mentions codeine, hydrocodone, and syringe during the transaction. Context: synthetic marijuana."
"Hidden memo mentions synthetic marijuana, bong, and nose candy during the transaction. Context: half o."
"Hidden memo mentions grass, lean, and blues during the transaction. Context: liquid g."
"The message discusses ball, foil, and pack in the shipment notes. Context: dope."
"Hidden memo mentions pcp, dillies, and oxycodone during the transaction. Context: mary jane."
"The message discusses cocaine, opium, and ketamine in the shipment notes. Context: hashish."
Case file references schoolbuses along with opium and razor. Context: syringe.
Case file references grass along with k2 and bong. Context: kilo.
Case file references angel dust along with kratom and teenager. Context: onion.
Case file references trap along with acid and dmt. Context: dillies.
"Hidden memo mentions rohypnol, junkie, and special k during the transaction. Context: dime."
Case file references bath salts along with half o and horse. Context: junkie.
"Hidden memo mentions morphine, dub, and dmt during the transaction. Context: meth."
Case file references methadone along with plug and nose candy. Context: needle.
Case file references grass along with brick and ketamine. Context: heroin.
Case file references shatter along with rush and load. Context: syringe.
"The message discusses crank, angel dust, and tar in the shipment notes. Context: ketamine."
"Hidden memo mentions m30, psilocybin, and lsd during the transaction. Context: blister pack."
"The message discusses snow, psilocybin, and straw in the shipment notes. Context: crack."
"Hidden memo mentions crack, plug, and key during the transaction. Context: junkie."
Case file references ecstasy along with codeine and qp. Context: nod.
Case file references weed along with m30 and narco. Context: k2.
"The message discusses tina, shipment, and m30 in the shipment notes. Context: shipment."
"Hidden memo mentions dmt, opium, and torch during the transaction. Context: rush."
Case file references k2 along with beans and crack. Context: boy.
"The message discusses snow, ball, and criss in the shipment notes. Context: tina."
"The message discusses mescaline, spice, and rush in the shipment notes. Context: crank."
"The message discusses flake, boy, and pot in the shipment notes. Context: rush."
"The message discusses grinder, cooker, and tweaker in the shipment notes. Context: half o."
"The message discusses hard, molly, and heroin in the shipment notes. Context: rush."
"The message discusses blow, dub, and point in the shipment notes. Context: morphine."
Case file references glass along with mdma and blotter. Context: synthetic marijuana.
"The message discusses ecstasy, go fast, and tabs in the shipment notes. Context: junkie."
"The message discusses mescaline, shrooms, and kilo in the shipment notes. Context: blow."
Case file references smack along with onion and marijuana. Context: junkie.
"The message discusses yayo, snow, and rohypnol in the shipment notes. Context: bando."
Case file references mary jane along with lean and shipment. Context: stash.
Case file references dope along with marijuana and special k. Context: soft.
Case file references crack along with soft and beans. Context: torch.
"The message discusses schoolbuses, cannabis, and carfentanil in the shipment notes. Context: rush."
"Hidden memo mentions mdma, rohypnol, and eight ball during the transaction. Context: m30."
"Hidden memo mentions eight ball, straw, and carfentanil during the transaction. Context: angel dust."
"Hidden memo mentions fix, molly, and eight ball during the transaction. Context: torch."
"Hidden memo mentions purple drank, tabs, and teenager during the transaction. Context: schoolbuses."
Case file references m30 along with amphetamine and tina. Context: kilo.
"The message discusses bars, key, and tar in the shipment notes. Context: qp."
"Hidden memo mentions pen, china white, and criss during the transaction. Context: heroin."
"Hidden memo mentions criss, girl, and pot during the transaction. Context: xans."
Case file references trap along with dub and grass. Context: white lady.
"The message discusses hydrocodone, boy, and razor in the shipment notes. Context: plug."
"The message discusses blues, dope, and purple drank in the shipment notes. Context: molly."
Case file references overdose along with bong and opium. Context: special k.
"The message discusses wax, scale, and brick in the shipment notes. Context: cocaine."
"Hidden memo mentions rohypnol, half o, and mary jane during the transaction. Context: foil."
Case file references drop along with lsd and junkie. Context: spice.
"Hidden memo mentions drop, blister pack, and perc during the transaction. Context: grinder."
Case file references point along with dime and snow. Context: nod.
"Hidden memo mentions junkie, hard, and vial during the transaction. Context: narco."
"The message discusses hard, ball, and morphine in the shipment notes. Context: flake."
"The message discusses footballs, perc, and codeine in the shipment notes. Context: dealer."
Case file references wax along with crank and grass. Context: kilo.
"The message discusses schoolbuses, trap, and zip in the shipment notes. Context: qp."
"The message discusses shatter, oxycodone, and pen in the shipment notes. Context: shrooms."
"Hidden memo mentions tina, shatter, and qp during the transaction. Context: mary jane."
Case file references syringe along with mary jane and flake. Context: cannabis.
Case file references shatter along with dillies and key. Context: synthetic marijuana.
"Hidden memo mentions prescription bottle, marijuana, and dabs during the transaction. Context: point."
Case file references spice along with drop and horse. Context: pen.
