text
"The report describes kill, blow up, and attack in the violent incident. Context: attack."
"Investigation notes mention battery, blow up, and abuse during the attack summary. Context: battery."
"Investigation notes mention sexual assault, chalk outline, and murder during the attack summary. Context: gun him down."
The file references dead together with battery and chalk outline in the assault record. Context: murder.
The file references arson together with bodybag and chalk outline in the assault record. Context: arson.
"Investigation notes mention arson, battery, and assault during the attack summary. Context: contract killer."
"The report describes shoot him, suffocate, and shoot her in the violent incident. Context: grave."
"Investigation notes mention abuse, homicide, and battery during the attack summary. Context: contract killer."
The file references strangle together with murder and poison in the assault record. Context: kill.
"Investigation notes mention blow up, murder, and grave during the attack summary. Context: arson."
The file references kill together with abuse and sexual assault in the assault record. Context: stab.
The file references kill together with bodybag and assault in the assault record. Context: arson.
The file references murder together with blow up and bodybag in the assault record. Context: abuse.
"The report describes assault, shoot him, and abuse in the violent incident. Context: strangle."
"Investigation notes mention shoot her, abuse, and kill during the attack summary. Context: dead."
The file references contract killer together with dirt nap and assault in the assault record. Context: blow up.
The file references assault together with kill and homicide in the assault record. Context: six feet under.
"The report describes kill, attack, and homicide in the violent incident. Context: stab."
"The report describes dead, bodybag, and arson in the violent incident. Context: chalk outline."
The file references homicide together with gun him down and stab in the assault record. Context: assault.
"Investigation notes mention dead, dirt nap, and arson during the attack summary. Context: chalk outline."
The file references dead together with murder and contract killer in the assault record. Context: arson.
"Investigation notes mention dead, assault, and strangle during the attack summary. Context: murder."
"The report describes contract killer, shoot her, and strangle in the violent incident. Context: assault."
"The report describes assault, murder, and dead in the violent incident. Context: blow up."
"Investigation notes mention sexual assault, blow up, and attack during the attack summary. Context: battery."
"Investigation notes mention suffocate, arson, and shoot him during the attack summary. Context: contract killer."
"The report describes rape, abuse, and attack in the violent incident. Context: attack."
"Investigation notes mention stab, blow up, and arson during the attack summary. Context: dirt nap."
"The report describes suffocate, stab, and blow up in the violent incident. Context: attack."
The file references shoot him together with stab and dead in the assault record. Context: suffocate.
"Investigation notes mention murder, shoot her, and blow up during the attack summary. Context: attack."
"The report describes homicide, abuse, and shoot her in the violent incident. Context: arson."
The file references suffocate together with sexual assault and bodybag in the assault record. Context: sexual assault.
"Investigation notes mention chalk outline, shoot him, and six feet under during the attack summary. Context: six feet under."
The file references strangle together with blow up and dead in the assault record. Context: strangle.
The file references rape together with assault and contract killer in the assault record. Context: abuse.
"The report describes murder, bodybag, and abuse in the violent incident. Context: contract killer."
"Investigation notes mention dead, sexual assault, and abuse during the attack summary. Context: dirt nap."
The file references strangle together with grave and poison in the assault record. Context: rape.
"The report describes murder, suffocate, and kill in the violent incident. Context: attack."
"Investigation notes mention stab, contract killer, and sexual assault during the attack summary. Context: dirt nap."
"The report describes suffocate, homicide, and murder in the violent incident. Context: stab."
"The report describes rape, abuse, and battery in the violent incident. Context: strangle."
"The report describes gun him down, abuse, and rape in the violent incident. Context: rape."
"The report describes battery, assault, and murder in the violent incident. Context: poison."
The file references bodybag together with assault and strangle in the assault record. Context: contract killer.
"Investigation notes mention abuse, suffocate, and chalk outline during the attack summary. Context: dead."
"The report describes arson, six feet under, and kill in the violent incident. Context: attack."
The file references sexual assault together with gun him down and poison in the assault record. Context: strangle.
"The report describes dead, arson, and bodybag in the violent incident. Context: dirt nap."
The file references dead together with blow up and sexual assault in the assault record. Context: attack.
The file references strangle together with abuse and homicide in the assault record. Context: attack.
"Investigation notes mention shoot her, blow up, and shoot him during the attack summary. Context: kill."
"The report describes shoot him, chalk outline, and dead in the violent incident. Context: shoot her."
The file references poison together with dirt nap and bodybag in the assault record. Context: shoot him.
