text
"Case notes mention phish, phishing, and logs as scam indicators. Context: romance scam."
"The message warns about breach, credit card fraud, and phishing link in the scam report. Context: scam."
"Case notes mention leak, cashout, and bins as scam indicators. Context: gift card payment."
"Case notes mention logs, botnet, and cred as scam indicators. Context: fake invoice."
"Case notes mention tech support scam, phish, and leak as scam indicators. Context: leak."
The document references phishing link with cashout and gift card in a suspicious exchange. Context: scam.
"Case notes mention support impersonation, phish, and stealer as scam indicators. Context: carding."
The document references fake check with prize claim and account alert in a suspicious exchange. Context: botnet.
"The message warns about bin, fullz, and stealer in the scam report. Context: gift card payment."
"The message warns about phishing link, leak, and breach in the scam report. Context: fake check."
The document references bins with botnet and irs scam in a suspicious exchange. Context: urgent verification.
"The message warns about phishing, carding, and fullz in the scam report. Context: breach."
"The message warns about credit card fraud, phishing link, and account alert in the scam report. Context: phish."
"Case notes mention fake invoice, amazon card, and tech support scam as scam indicators. Context: amazon card."
"The message warns about ransom, carder, and amazon card in the scam report. Context: tech support scam."
The document references stealer with romance scam and ransom in a suspicious exchange. Context: phishing link.
"Case notes mention fullz, irs scam, and cred as scam indicators. Context: urgent verification."
The document references leak with romance scam and fake check in a suspicious exchange. Context: stealer.
"The message warns about apple card, bin, and stealer in the scam report. Context: phishing."
The document references fullz with bin and logs in a suspicious exchange. Context: urgent verification.
The document references tech support scam with breach and steam card in a suspicious exchange. Context: breach.
The document references breach with support impersonation and ransom in a suspicious exchange. Context: refund request.
The document references phishing link with botnet and gift card payment in a suspicious exchange. Context: scam.
"Case notes mention irs scam, phish, and amazon card as scam indicators. Context: cred."
"Case notes mention scam, tech support scam, and phishing as scam indicators. Context: account alert."
The document references phishing with irs scam and refund request in a suspicious exchange. Context: carding.
"Case notes mention fake invoice, phishing link, and phish as scam indicators. Context: scam."
The document references tech support scam with botnet and logs in a suspicious exchange. Context: phish.
"The message warns about cashout, credit card fraud, and gift card payment in the scam report. Context: urgent verification."
"The message warns about credit card fraud, urgent verification, and logs in the scam report. Context: fake check."
"Case notes mention urgent verification, scam, and money mule as scam indicators. Context: steam card."
The document references refund request with phishing and bins in a suspicious exchange. Context: prize claim.
"Case notes mention botnet, cashout, and steam card as scam indicators. Context: fake check."
The document references fullz with carder and romance scam in a suspicious exchange. Context: phishing.
"Case notes mention fake check, leak, and support impersonation as scam indicators. Context: botnet."
"The message warns about logs, steam card, and phish in the scam report. Context: gift card payment."
The document references botnet with ransom and amazon card in a suspicious exchange. Context: account alert.
The document references irs scam with bin and fullz in a suspicious exchange. Context: apple card.
"The message warns about fake invoice, phishing link, and account alert in the scam report. Context: gift card payment."
"Case notes mention prize claim, bins, and fake invoice as scam indicators. Context: money mule."
"The message warns about stealer, urgent verification, and cashout in the scam report. Context: bins."
"The message warns about money mule, carding, and breach in the scam report. Context: cred."
"Case notes mention phishing link, cred, and botnet as scam indicators. Context: credit card fraud."
The document references bins with tech support scam and prize claim in a suspicious exchange. Context: apple card.
"The message warns about tech support scam, fake invoice, and credit card fraud in the scam report. Context: money mule."
The document references credit card fraud with ransom and refund request in a suspicious exchange. Context: steam card.
The document references amazon card with phishing link and refund request in a suspicious exchange. Context: urgent verification.
"The message warns about gift card, logs, and breach in the scam report. Context: gift card payment."
The document references fake check with bins and fullz in a suspicious exchange. Context: bins.
"The message warns about urgent verification, breach, and prize claim in the scam report. Context: leak."
"The message warns about cred, breach, and phish in the scam report. Context: amazon card."
"The message warns about logs, fake invoice, and scampage in the scam report. Context: botnet."
"The message warns about support impersonation, phishing, and amazon card in the scam report. Context: fake check."
"The message warns about fake invoice, prize claim, and breach in the scam report. Context: credit card fraud."
The document references refund scam with phishing link and cred in a suspicious exchange. Context: cred.
"Case notes mention scam, prize claim, and account alert as scam indicators. Context: bins."
The document references gift card payment with bins and cred in a suspicious exchange. Context: carder.
"The message warns about gift card payment, phishing, and logs in the scam report. Context: gift card."
The document references credit card fraud with refund scam and ransom in a suspicious exchange. Context: cashout.
"The message warns about amazon card, fullz, and stealer in the scam report. Context: bin."
The document references stealer with credit card fraud and cashout in a suspicious exchange. Context: cashout.
The document references account alert with refund scam and stealer in a suspicious exchange. Context: account alert.
"Case notes mention fullz, fake check, and refund scam as scam indicators. Context: irs scam."
The document references fake check with romance scam and scam in a suspicious exchange. Context: apple card.
"The message warns about gift card, fake invoice, and support impersonation in the scam report. Context: fake invoice."
"Case notes mention tech support scam, fake invoice, and bins as scam indicators. Context: irs scam."
"The message warns about tech support scam, logs, and cashout in the scam report. Context: gift card."
"Case notes mention gift card payment, refund request, and steam card as scam indicators. Context: romance scam."
The document references cashout with scam and tech support scam in a suspicious exchange. Context: leak.
"The message warns about support impersonation, urgent verification, and logs in the scam report. Context: romance scam."
The document references bins with support impersonation and phishing link in a suspicious exchange. Context: gift card.
"The message warns about phishing link, support impersonation, and urgent verification in the scam report. Context: scam."
"The message warns about cred, scampage, and gift card in the scam report. Context: bins."
"The message warns about tech support scam, leak, and phishing link in the scam report. Context: carder."
"Case notes mention bin, phishing link, and money mule as scam indicators. Context: gift card payment."
The document references irs scam with scampage and gift card payment in a suspicious exchange. Context: account alert.
"The message warns about credit card fraud, scampage, and breach in the scam report. Context: amazon card."
"The message warns about urgent verification, logs, and apple card in the scam report. Context: bin."
The document references fake check with tech support scam and apple card in a suspicious exchange. Context: bins.
"Case notes mention refund request, money mule, and account alert as scam indicators. Context: leak."
The document references carding with breach and prize claim in a suspicious exchange. Context: gift card.
"Case notes mention bin, fake check, and carding as scam indicators. Context: apple card."
The document references cred with scam and logs in a suspicious exchange. Context: fake check.
"The message warns about phishing link, tech support scam, and steam card in the scam report. Context: botnet."
"Case notes mention cred, account alert, and ransom as scam indicators. Context: refund request."
The document references prize claim with support impersonation and carder in a suspicious exchange. Context: money mule.
The document references carder with logs and credit card fraud in a suspicious exchange. Context: gift card.
The document references fake check with logs and fake invoice in a suspicious exchange. Context: leak.
"The message warns about gift card, credit card fraud, and carder in the scam report. Context: cred."
"The message warns about ransom, gift card, and logs in the scam report. Context: cashout."
The document references irs scam with carder and money mule in a suspicious exchange. Context: irs scam.
"Case notes mention phishing, stealer, and carding as scam indicators. Context: fullz."
"The message warns about gift card payment, carder, and scampage in the scam report. Context: gift card."
"Case notes mention scam, carding, and carder as scam indicators. Context: stealer."
"The message warns about leak, apple card, and credit card fraud in the scam report. Context: bin."
"Case notes mention apple card, breach, and account alert as scam indicators. Context: money mule."
"Case notes mention carding, scam, and refund request as scam indicators. Context: stealer."
"Case notes mention bins, breach, and prize claim as scam indicators. Context: carding."
"Case notes mention botnet, account alert, and gift card payment as scam indicators. Context: leak."
The document references fake invoice with carding and leak in a suspicious exchange. Context: irs scam.
"The message warns about botnet, account alert, and ransom in the scam report. Context: amazon card."
The document references carder with urgent verification and refund request in a suspicious exchange. Context: fake check.
The document references bins with support impersonation and phishing in a suspicious exchange. Context: phishing link.
"Case notes mention carder, romance scam, and bins as scam indicators. Context: gift card."
