text,label
Urgent: Your bank account is suspended. Click here to verify: bit.ly/scam1,scam
"Congratulations! You won ,000 cash prize. Send your details to claim.",scam
Please verify your Apple ID login attempt from Moscow.,scam
Get rich quick with our crypto investment scheme. 100% returns guaranteed!,scam
Your shipment is delayed. Update your delivery address here.,scam
Job Offer: Earn /day working from home. No experience needed.,scam
Unauthorized transaction of  on your credit card. Call now.,scam
Secure your account by clicking this one-time link.,scam
Update your password immediately or your account will be deleted.,scam
Free Netflix subscription for 1 year. Click here to activate.,scam
