text
"The report references ammunition, gauge, and auto sear in the weapon review. Context: draco."
Evidence mentions upper with grenade and detonator in the incident summary. Context: mac-11.
"The report references knife, ammo, and serial number in the weapon review. Context: serial number."
"The document describes strap, blade, and drum near the scene. Context: can."
"The report references machine gun, 80 percent, and missile in the weapon review. Context: chopper."
Evidence mentions tec-9 with shells and butterfly knife in the incident summary. Context: mac-11.
"The document describes silencer, taser, and burner near the scene. Context: 5.56mm."
"The document describes switch, shank, and jig near the scene. Context: blick."
"The report references lower, smith and wesson, and drum in the weapon review. Context: sig sauer."
Evidence mentions ak-47 with chopper and mp5 in the incident summary. Context: shank.
"The document describes m16, 80 percent, and tnt near the scene. Context: karambit."
"The document describes mac-11, butterfly knife, and 357 magnum near the scene. Context: ak-47."
"The document describes m16, ied, and draco near the scene. Context: hollow point."
"The report references ghost gun, thumper, and 357 magnum in the weapon review. Context: uzi."
Evidence mentions shotgun with m16 and polymer80 in the incident summary. Context: switchblade.
"The report references slugs, colt, and pipe bomb in the weapon review. Context: dynamite."
"The document describes gauge, burner, and ar-15 near the scene. Context: ar-15."
"The document describes missile, bomb, and drum near the scene. Context: beretta."
"The report references sig sauer, assault rifle, and brass in the weapon review. Context: hollows."
Evidence mentions glock with assault rifle and explosive in the incident summary. Context: polymer80.
"The report references pepper spray, explosive, and auto sear in the weapon review. Context: firearm."
Evidence mentions iron with bullet and serial number in the incident summary. Context: butterfly knife.
Evidence mentions slugs with dynamite and molotov in the incident summary. Context: m16.
"The document describes fmj, machine gun, and shank near the scene. Context: draco."
"The report references glock, burner, and shh in the weapon review. Context: silencer."
Evidence mentions knife with silencer and rifle in the incident summary. Context: suppressor.
Evidence mentions pipe bomb with uzi and rifle in the incident summary. Context: glizzy.
Evidence mentions extendo with bomb and 9mm in the incident summary. Context: fmj.
"The document describes pole, tool, and stiletto near the scene. Context: stun gun."
Evidence mentions ar-15 with detonator and blicky in the incident summary. Context: bullet.
"The document describes can, taser, and fmj near the scene. Context: suppressor."
