text
"The document discusses cross, modern slavery, and outcall in the trafficking case. Context: bondage."
"The file references new girl, stroll, and fresh meat as part of the exploitation report. Context: rub and tug."
"The document discusses trafficking, cargo, and stable in the trafficking case. Context: freight."
"The document discusses clean, modern slavery, and load in the trafficking case. Context: brothel."
"The file references track, sweet, and brothel as part of the exploitation report. Context: trailer."
Investigation notes mention abduction along with hide and sweet. Context: track.
"The document discusses recruitment, freight, and border in the trafficking case. Context: minor."
Investigation notes mention make them along with turn out and outcall. Context: modern slavery.
Investigation notes mention sweet along with party and play and virgin. Context: fresh meat.
Investigation notes mention teen along with track and modern slavery. Context: virgin.
"The file references fake passport, escort, and modern slavery as part of the exploitation report. Context: chemsex."
"The file references debt, pnp, and sex work as part of the exploitation report. Context: stash house."
"The document discusses stable, fresh meat, and turn out in the trafficking case. Context: incall."
Investigation notes mention brothel along with cargo and abduction. Context: stash house.
"The file references child labor, turn out, and confinement as part of the exploitation report. Context: turn out."
"The document discusses cargo, sugar daddy, and smuggling in the trafficking case. Context: bottom girl."
"The document discusses virgin, coercion, and container in the trafficking case. Context: trafficking."
"The document discusses servitude, fee, and madam in the trafficking case. Context: work it off."
Investigation notes mention incall along with transport and container. Context: recruitment.
"The document discusses rub and tug, chemsex, and boy in the trafficking case. Context: minor."
"The document discusses sugar daddy, abduction, and sex work in the trafficking case. Context: stash house."
"The document discusses coyote, harboring, and abduction in the trafficking case. Context: transport."
Investigation notes mention minor along with abduction and bb. Context: blade.
Investigation notes mention stable along with rub and tug and sweet. Context: boy.
"The document discusses child labor, stroll, and make them in the trafficking case. Context: recruitment."
"The file references cargo, buy girl, and sexual exploitation as part of the exploitation report. Context: bb."
Investigation notes mention bareback along with coyote and girl. Context: working girl.
"The file references recruitment, servitude, and debt as part of the exploitation report. Context: outcall."
Investigation notes mention underage along with servitude and trailer. Context: confinement.
Investigation notes mention fake passport along with girl and choose up. Context: commercial sex.
"The file references recruitment, forced labor, and buy girl as part of the exploitation report. Context: fake passport."
Investigation notes mention kidnapping along with happy ending and pimp. Context: happy ending.
"The file references outcall, girl, and coyote as part of the exploitation report. Context: bareback."
Investigation notes mention fee along with debt bondage and hide. Context: debt bondage.
Investigation notes mention sugar daddy along with prostitution and coyote. Context: coyote.
"The document discusses fresh meat, snakehead, and pnp in the trafficking case. Context: cherry."
"The file references teen, recruitment, and kidnapping as part of the exploitation report. Context: work it off."
Investigation notes mention track along with new girl and bb. Context: donations.
"The file references pay it back, pse, and new as part of the exploitation report. Context: working girl."
"The file references happy ending, border, and kidnapping as part of the exploitation report. Context: sex work."
"The file references rates, chemsex, and donations as part of the exploitation report. Context: brothel."
"The document discusses handler, sugar daddy, and modern slavery in the trafficking case. Context: sexual exploitation."
"The file references escort, prostitution, and force as part of the exploitation report. Context: make them."
Investigation notes mention commercial sex along with choose up and brothel. Context: stash house.
Investigation notes mention coercion along with confinement and fee. Context: bb.
"The document discusses load, visa, and donations in the trafficking case. Context: cherry."
"The document discusses bottom b, track, and donations in the trafficking case. Context: pay it back."
"The file references underage, brothel, and pnp as part of the exploitation report. Context: recruitment."
"The file references harboring, pnp, and recruitment as part of the exploitation report. Context: container."
Investigation notes mention work it off along with coyote and fee. Context: chemsex.
Investigation notes mention stroll along with happy ending and sex work. Context: owe.
"The file references brothel, bottom b, and stroll as part of the exploitation report. Context: owe."
"The document discusses sex work, debt, and cargo in the trafficking case. Context: servitude."
Investigation notes mention happy ending along with snakehead and hide. Context: border.
"The file references cross, visa, and outcall as part of the exploitation report. Context: recruitment."
Investigation notes mention new girl along with massage parlor and border. Context: snakehead.
"The document discusses pay it back, stroll, and kid in the trafficking case. Context: madam."
Investigation notes mention buy boy along with work it off and outcall. Context: bondage.
"The file references roses, minor, and coercion as part of the exploitation report. Context: rates."
"The document discusses owe, massage parlor, and gfe in the trafficking case. Context: modern slavery."
"The document discusses sexual exploitation, commercial sex, and bondage in the trafficking case. Context: sugar baby."
Investigation notes mention servitude along with trailer and sweet. Context: hide.
"The document discusses massage, rates, and debt in the trafficking case. Context: new."
"The file references forced labor, working girl, and hide as part of the exploitation report. Context: sugar daddy."
Investigation notes mention modern slavery along with happy ending and track. Context: container.
Investigation notes mention minor along with coyote and virgin. Context: forced labor.
"The document discusses fee, servitude, and minor in the trafficking case. Context: fresh meat."
